iter	Passed	Remaining
0	41	20581
1	70	17576
2	88	14584
3	106	13154
4	125	12427
5	144	11865
6	163	11546
7	181	11139
8	198	10835
9	216	10613
10	235	10457
11	268	10918
12	320	12015
13	346	12031
14	372	12045
15	391	11842
16	414	11762
17	432	11591
18	456	11553
19	478	11485
20	492	11224
21	503	10948
22	517	10735
23	528	10478
24	539	10249
25	551	10055
26	562	9857
27	575	9695
28	586	9526
29	598	9370
30	609	9214
31	621	9085
32	633	8958
33	643	8821
34	653	8684
35	666	8587
36	677	8474
37	688	8365
38	698	8255
39	712	8193
40	724	8107
41	730	7966
42	741	7878
43	752	7795
44	764	7724
45	775	7657
46	787	7593
47	802	7553
48	812	7477
49	825	7426
50	837	7370
51	849	7317
52	862	7274
53	874	7223
54	886	7172
55	897	7117
56	909	7066
57	920	7012
58	934	6982
59	946	6939
60	958	6899
61	975	6890
62	999	6933
63	1020	6953
64	1038	6952
65	1058	6957
66	1077	6964
67	1096	6968
68	1116	6976
69	1128	6929
70	1138	6878
71	1150	6841
72	1161	6795
73	1172	6748
74	1183	6706
75	1207	6734
76	1223	6722
77	1235	6682
78	1246	6643
79	1257	6601
80	1268	6561
81	1279	6520
82	1290	6482
83	1304	6461
84	1317	6432
85	1329	6401
86	1342	6372
87	1357	6355
88	1368	6317
89	1379	6283
90	1390	6249
91	1403	6223
92	1415	6193
93	1428	6171
94	1439	6137
95	1453	6116
96	1465	6089
97	1479	6067
98	1489	6034
99	1502	6011
100	1516	5990
101	1527	5959
102	1538	5928
103	1549	5898
104	1559	5867
105	1571	5841
106	1582	5811
107	1593	5782
108	1604	5756
109	1615	5728
110	1626	5700
111	1637	5672
112	1648	5645
113	1658	5616
114	1669	5587
115	1680	5561
116	1692	5540
117	1703	5516
118	1715	5491
119	1725	5465
120	1736	5438
121	1746	5411
122	1757	5386
123	1768	5361
124	1778	5336
125	1792	5321
126	1803	5296
127	1815	5276
128	1828	5257
129	1838	5233
130	1850	5211
131	1861	5189
132	1873	5168
133	1885	5148
134	1896	5128
135	1907	5104
136	1921	5090
137	1932	5068
138	1944	5051
139	1957	5034
140	1969	5014
141	1982	4997
142	1993	4977
143	2007	4963
144	2018	4942
145	2029	4921
146	2040	4899
147	2050	4877
148	2062	4857
149	2072	4836
150	2083	4815
151	2094	4795
152	2106	4776
153	2117	4757
154	2128	4738
155	2139	4717
156	2150	4697
157	2162	4680
158	2173	4660
159	2184	4641
160	2194	4621
161	2205	4601
162	2215	4580
163	2225	4560
164	2235	4539
165	2247	4522
166	2259	4504
167	2269	4485
168	2282	4470
169	2294	4454
170	2306	4437
171	2317	4419
172	2330	4404
173	2342	4389
174	2357	4378
175	2422	4459
176	2442	4456
177	2458	4446
178	2473	4436
179	2485	4419
180	2502	4410
181	2515	4394
182	2528	4379
183	2541	4364
184	2554	4349
185	2568	4336
186	2582	4322
187	2597	4310
188	2610	4295
189	2624	4281
190	2634	4262
191	2648	4249
192	2661	4233
193	2675	4220
194	2698	4221
195	2714	4209
196	2727	4195
197	2740	4180
198	2754	4165
199	2766	4149
200	2782	4138
201	2796	4124
202	2808	4108
203	2820	4092
204	2836	4081
205	2850	4067
206	2864	4054
207	2877	4039
208	2891	4026
209	2904	4010
210	2921	4001
211	2936	3989
212	2950	3976
213	2965	3963
214	2988	3960
215	3009	3956
216	3020	3939
217	3044	3937
218	3062	3929
219	3079	3919
220	3108	3924
221	3122	3909
222	3155	3919
223	3171	3907
224	3198	3909
225	3215	3897
226	3236	3892
227	3255	3883
228	3273	3874
229	3286	3858
230	3302	3846
231	3317	3831
232	3332	3818
233	3348	3806
234	3362	3791
235	3377	3777
236	3392	3764
237	3408	3752
238	3420	3735
239	3434	3720
240	3449	3707
241	3463	3692
242	3479	3679
243	3492	3664
244	3508	3651
245	3518	3633
246	3529	3615
247	3541	3598
248	3551	3580
249	3563	3563
250	3575	3547
251	3586	3529
252	3596	3511
253	3608	3494
254	3619	3477
255	3630	3459
256	3641	3442
257	3652	3425
258	3662	3408
259	3675	3392
260	3686	3375
261	3698	3359
262	3713	3346
263	3727	3332
264	3740	3317
265	3753	3302
266	3768	3288
267	3781	3273
268	3794	3258
269	3807	3243
270	3820	3228
271	3834	3213
272	3846	3198
273	3861	3184
274	3874	3169
275	3885	3153
276	3897	3138
277	3909	3121
278	3934	3116
279	3946	3101
280	3957	3084
281	3968	3067
282	3981	3052
283	3991	3035
284	4001	3018
285	4011	3001
286	4022	2985
287	4032	2968
288	4043	2951
289	4053	2935
290	4064	2919
291	4076	2903
292	4087	2888
293	4098	2871
294	4108	2854
295	4119	2838
296	4130	2823
297	4141	2807
298	4151	2791
299	4170	2780
300	4202	2778
301	4229	2773
302	4261	2770
303	4283	2761
304	4304	2752
305	4333	2747
306	4425	2782
307	4480	2792
308	4500	2781
309	4520	2770
310	4539	2758
311	4563	2749
312	4594	2744
313	4645	2751
314	4684	2751
315	4716	2746
316	4736	2734
317	4760	2724
318	4784	2714
319	4808	2704
320	4832	2694
321	4857	2685
322	4887	2678
323	4912	2668
324	4933	2656
325	4952	2643
326	4975	2632
327	5003	2623
328	5032	2615
329	5052	2602
330	5074	2590
331	5095	2578
332	5114	2564
333	5131	2550
334	5158	2540
335	5186	2531
336	5208	2519
337	5273	2527
338	5296	2515
339	5318	2502
340	5354	2496
341	5441	2513
342	5471	2504
343	5491	2490
344	5511	2476
345	5531	2461
346	5555	2449
347	5582	2438
348	5621	2432
349	5681	2435
350	5711	2424
351	5739	2413
352	5766	2401
353	5785	2386
354	5803	2370
355	5820	2354
356	5839	2339
357	5858	2323
358	5876	2308
359	5899	2294
360	5917	2278
361	5937	2263
362	5950	2245
363	5963	2228
364	5975	2210
365	5985	2191
366	5997	2173
367	6007	2154
368	6018	2136
369	6029	2118
370	6040	2100
371	6053	2082
372	6064	2064
373	6076	2047
374	6087	2029
375	6098	2011
376	6109	1993
377	6119	1975
378	6142	1961
379	6174	1949
380	6205	1938
381	6227	1923
382	6252	1910
383	6277	1896
384	6296	1880
385	6320	1866
386	6348	1853
387	6374	1840
388	6390	1823
389	6409	1807
390	6424	1790
391	6435	1773
392	6446	1755
393	6459	1737
394	6470	1719
395	6480	1702
396	6491	1684
397	6501	1666
398	6511	1648
399	6521	1630
400	6532	1612
401	6543	1595
402	6553	1577
403	6564	1559
404	6574	1542
405	6586	1524
406	6597	1507
407	6608	1490
408	6620	1472
409	6631	1455
410	6648	1439
411	6658	1422
412	6669	1404
413	6679	1387
414	6689	1370
415	6700	1353
416	6711	1335
417	6722	1318
418	6732	1301
419	6745	1284
420	6756	1267
421	6769	1251
422	6780	1234
423	6790	1217
424	6800	1200
425	6811	1183
426	6823	1166
427	6835	1149
428	6845	1132
429	6856	1116
430	6866	1099
431	6881	1083
432	6892	1066
433	6902	1049
434	6916	1033
435	6933	1017
436	6962	1003
437	6986	989
438	6997	972
439	7006	955
440	7016	938
441	7026	922
442	7036	905
443	7047	888
444	7059	872
445	7069	855
446	7079	839
447	7090	823
448	7101	806
449	7111	790
450	7121	773
451	7131	757
452	7142	741
453	7152	724
454	7162	708
455	7172	692
456	7183	675
457	7194	659
458	7206	643
459	7216	627
460	7227	611
461	7241	595
462	7252	579
463	7262	563
464	7272	547
465	7283	531
466	7294	515
467	7305	499
468	7316	483
469	7327	467
470	7339	451
471	7349	436
472	7360	420
473	7374	404
474	7384	388
475	7394	372
476	7407	357
477	7417	341
478	7427	325
479	7437	309
480	7450	294
481	7460	278
482	7470	262
483	7480	247
484	7490	231
485	7500	216
486	7511	200
487	7520	184
488	7531	169
489	7541	153
490	7551	138
491	7561	122
492	7571	107
493	7581	92
494	7593	76
495	7604	61
496	7614	45
497	7624	30
498	7636	15
499	7646	0
